Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Aux indices,Test indices,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,0,248,0.5,124,"[   19    30   145   274   432   570   692   748   904  1081  1126  1198
  1405  1431  1520  1550  1551  1679  1858  1888  1945  1964  1972  1980
  1990  2152  2211  2242  2407  2586  2823  2879  3087  3218  3278  3600
  3705  3740  3761  3775  3894  3911  3966  4002  4007  4106  4214  4296
  4388  4448  4650  4786  4793  4799  4848  4874  4886  5046  5124  5223
  5593  5829  5859  6220  6266  6288  6308  6518  6567  6860  6896  7086
  7098  7194  7309  7373  7490  7613  7655  7713  7878  7936  7985  8173
  8456  8895  8960  9030  9083  9109  9289  9363  9642  9709  9838  9965
  9968 10065 10119 10124 10158 10196 10232 10348 10351 10376 10639 10651
 10984 11305 11335 11374 11556 11563 11575 11855 11935 12094 12221 12251
 12443 12498 12578 12689 12729 12797 12846 13240 13274 13512 13665 13694
 13702 13747 13851 14086 14165 14228 14337 14420 14487 14500 14582 14607
 14671 14824 14850 15100 15154 15374 15433 15710 15780 15948 16213 16380
 16653 16691 16778 16883 16931 17008 17044 17079 17226 17351 17429 17467
 17502 17542 17682 17714 17730 17756 17854 17884 17923 18086 18108 18112
 18123 18170 18314 18598 18620 18669 18904 19152 19255 19380 19381 19595
 19709 19768 19822 19886 19898 19932 19968 19969 20071 20087 20097 20219
 20316 20368 20618 20629 20730 20750 20785 20934 21240 21368 21661 21691
 21808 21856 21883 21896 22001 22055 22240 22403 22423 22552 22639 22682
 22712 22817 22878 22892 22932 23092 23478 23491 23559 23572 23654 23698
 23723 23730 23852 24071 24110 24324 24656 24933]","[  35   63  178  187  302  432  654  695  833  995 1033 1268 1377 1454
 1524 1803 1964 2036 2107 2171 2321 2352 2489 2506 2590 2759 2832 2844
 2963 3259 3428 3634 3649 3736 3743 4133 4148 4210 4452 4458 4643 4687
 4749 4987 5185 5361 5450 5529 5552 5671 5682 5732 5852 5890 5910 5987
 6054 6201 6340 6375 6596 6873 6973 7210 7212 7398 7802 7905 7915 8041
 8059 8136 8169 8203 8338 8382 8600 8665 8999 9281 9308 9338 9453 9641
 9748]",25000,25124,80.21,69.41176470588235,68.23529411764706,85,81.12,87.09677419354838,68.95161290322581
5,0,248,1.0,248,"[   19    30   145   274   432   570   692   748   904  1081  1126  1198
  1405  1431  1520  1550  1551  1679  1858  1888  1945  1964  1972  1980
  1990  2152  2211  2242  2407  2586  2823  2879  3087  3218  3278  3600
  3705  3740  3761  3775  3894  3911  3966  4002  4007  4106  4214  4296
  4388  4448  4650  4786  4793  4799  4848  4874  4886  5046  5124  5223
  5593  5829  5859  6220  6266  6288  6308  6518  6567  6860  6896  7086
  7098  7194  7309  7373  7490  7613  7655  7713  7878  7936  7985  8173
  8456  8895  8960  9030  9083  9109  9289  9363  9642  9709  9838  9965
  9968 10065 10119 10124 10158 10196 10232 10348 10351 10376 10639 10651
 10984 11305 11335 11374 11556 11563 11575 11855 11935 12094 12221 12251
 12443 12498 12578 12689 12729 12797 12846 13240 13274 13512 13665 13694
 13702 13747 13851 14086 14165 14228 14337 14420 14487 14500 14582 14607
 14671 14824 14850 15100 15154 15374 15433 15710 15780 15948 16213 16380
 16653 16691 16778 16883 16931 17008 17044 17079 17226 17351 17429 17467
 17502 17542 17682 17714 17730 17756 17854 17884 17923 18086 18108 18112
 18123 18170 18314 18598 18620 18669 18904 19152 19255 19380 19381 19595
 19709 19768 19822 19886 19898 19932 19968 19969 20071 20087 20097 20219
 20316 20368 20618 20629 20730 20750 20785 20934 21240 21368 21661 21691
 21808 21856 21883 21896 22001 22055 22240 22403 22423 22552 22639 22682
 22712 22817 22878 22892 22932 23092 23478 23491 23559 23572 23654 23698
 23723 23730 23852 24071 24110 24324 24656 24933]","[  35   63  178  187  302  432  654  695  833  995 1033 1268 1377 1454
 1524 1803 1964 2036 2107 2171 2321 2352 2489 2506 2590 2759 2832 2844
 2963 3259 3428 3634 3649 3736 3743 4133 4148 4210 4452 4458 4643 4687
 4749 4987 5185 5361 5450 5529 5552 5671 5682 5732 5852 5890 5910 5987
 6054 6201 6340 6375 6596 6873 6973 7210 7212 7398 7802 7905 7915 8041
 8059 8136 8169 8203 8338 8382 8600 8665 8999 9281 9308 9338 9453 9641
 9748]",25000,25248,80.21,64.70588235294117,68.23529411764706,85,80.75,87.09677419354838,41.12903225806452
5,0,248,2.0,496,"[   19    30   145   274   432   570   692   748   904  1081  1126  1198
  1405  1431  1520  1550  1551  1679  1858  1888  1945  1964  1972  1980
  1990  2152  2211  2242  2407  2586  2823  2879  3087  3218  3278  3600
  3705  3740  3761  3775  3894  3911  3966  4002  4007  4106  4214  4296
  4388  4448  4650  4786  4793  4799  4848  4874  4886  5046  5124  5223
  5593  5829  5859  6220  6266  6288  6308  6518  6567  6860  6896  7086
  7098  7194  7309  7373  7490  7613  7655  7713  7878  7936  7985  8173
  8456  8895  8960  9030  9083  9109  9289  9363  9642  9709  9838  9965
  9968 10065 10119 10124 10158 10196 10232 10348 10351 10376 10639 10651
 10984 11305 11335 11374 11556 11563 11575 11855 11935 12094 12221 12251
 12443 12498 12578 12689 12729 12797 12846 13240 13274 13512 13665 13694
 13702 13747 13851 14086 14165 14228 14337 14420 14487 14500 14582 14607
 14671 14824 14850 15100 15154 15374 15433 15710 15780 15948 16213 16380
 16653 16691 16778 16883 16931 17008 17044 17079 17226 17351 17429 17467
 17502 17542 17682 17714 17730 17756 17854 17884 17923 18086 18108 18112
 18123 18170 18314 18598 18620 18669 18904 19152 19255 19380 19381 19595
 19709 19768 19822 19886 19898 19932 19968 19969 20071 20087 20097 20219
 20316 20368 20618 20629 20730 20750 20785 20934 21240 21368 21661 21691
 21808 21856 21883 21896 22001 22055 22240 22403 22423 22552 22639 22682
 22712 22817 22878 22892 22932 23092 23478 23491 23559 23572 23654 23698
 23723 23730 23852 24071 24110 24324 24656 24933]","[  35   63  178  187  302  432  654  695  833  995 1033 1268 1377 1454
 1524 1803 1964 2036 2107 2171 2321 2352 2489 2506 2590 2759 2832 2844
 2963 3259 3428 3634 3649 3736 3743 4133 4148 4210 4452 4458 4643 4687
 4749 4987 5185 5361 5450 5529 5552 5671 5682 5732 5852 5890 5910 5987
 6054 6201 6340 6375 6596 6873 6973 7210 7212 7398 7802 7905 7915 8041
 8059 8136 8169 8203 8338 8382 8600 8665 8999 9281 9308 9338 9453 9641
 9748]",25000,25496,80.21,77.6470588235294,68.23529411764706,85,80.28,87.09677419354838,23.387096774193548
5,1,217,0.5,108,"[   94   122   483   579   636   654   766   964  1000  1186  1227  1424
  1481  1498  1535  1656  1921  2004  2061  2100  2343  2402  2532  2594
  2948  3181  3199  3528  3635  3644  3787  3853  3884  4088  4327  4414
  4442  4523  4546  4586  4640  4859  4896  5007  5094  5139  5299  5309
  5989  6055  6258  6289  6350  6603  6746  6970  7312  7363  7409  7542
  7605  7640  7739  7756  7763  7894  7914  7977  8029  8160  8207  8301
  8351  8612  8666  8724  8753  8890  9111  9370  9448  9648  9734  9771
  9800 10000 10164 10197 10302 10334 10468 10498 10580 10728 10750 10777
 10841 10965 10981 11072 11096 11339 11410 11545 11720 12282 12398 12462
 12495 12582 12608 12671 12830 13066 13140 13160 13216 13373 13390 13432
 13449 13490 13516 13845 13856 13914 14174 14261 14560 14589 14604 14632
 14706 14752 14802 15069 15149 15281 15415 15509 15576 15587 15917 15954
 16065 16087 16151 16582 16626 16716 16797 16833 16837 16840 16863 17019
 17054 17314 17587 17588 17741 17786 18027 18195 18211 18220 18582 18588
 18601 18662 18885 19451 19489 19616 19716 20061 20074 20167 20192 20262
 20424 20514 20579 20602 20673 20947 20992 21048 21084 21263 21412 21426
 21438 21571 21631 21765 21838 21957 22015 22050 22632 22738 22911 23049
 23357 23520 23721 24055 24104 24112 24148 24319 24362 24602 24652 24758
 24878]","[ 195  248  254  316  455  463  583  623  674  775  796 1146 1456 1507
 1523 1554 1638 1656 1696 1830 1888 1971 1983 1986 2066 2096 2127 2359
 2362 2391 2404 2483 2540 2564 2673 2841 2852 2985 3139 3328 3352 3559
 3607 3681 3785 3816 3899 3905 3947 4146 4203 4204 4262 4357 4522 4571
 4612 4642 4801 4832 5006 5009 5165 5193 5289 5461 5492 5577 5712 5800
 5908 5924 5996 6076 6190 6243 6335 6387 6389 6446 6497 6559 6673 6703
 6822 6845 6849 6920 6959 7019 7030 7061 7140 7177 7298 7318 7351 7666
 7708 7812 7830 7855 7897 7906 8205 8242 8404 8454 8610 8631 8667 8734
 8827 9090 9129 9231 9234 9250 9481 9506 9536 9573 9750 9752 9767 9780
 9825 9874]",25000,25108,80.21,64.0625,57.03125,128,78.44,86.63594470046083,57.142857142857146
5,1,217,1.0,217,"[   94   122   483   579   636   654   766   964  1000  1186  1227  1424
  1481  1498  1535  1656  1921  2004  2061  2100  2343  2402  2532  2594
  2948  3181  3199  3528  3635  3644  3787  3853  3884  4088  4327  4414
  4442  4523  4546  4586  4640  4859  4896  5007  5094  5139  5299  5309
  5989  6055  6258  6289  6350  6603  6746  6970  7312  7363  7409  7542
  7605  7640  7739  7756  7763  7894  7914  7977  8029  8160  8207  8301
  8351  8612  8666  8724  8753  8890  9111  9370  9448  9648  9734  9771
  9800 10000 10164 10197 10302 10334 10468 10498 10580 10728 10750 10777
 10841 10965 10981 11072 11096 11339 11410 11545 11720 12282 12398 12462
 12495 12582 12608 12671 12830 13066 13140 13160 13216 13373 13390 13432
 13449 13490 13516 13845 13856 13914 14174 14261 14560 14589 14604 14632
 14706 14752 14802 15069 15149 15281 15415 15509 15576 15587 15917 15954
 16065 16087 16151 16582 16626 16716 16797 16833 16837 16840 16863 17019
 17054 17314 17587 17588 17741 17786 18027 18195 18211 18220 18582 18588
 18601 18662 18885 19451 19489 19616 19716 20061 20074 20167 20192 20262
 20424 20514 20579 20602 20673 20947 20992 21048 21084 21263 21412 21426
 21438 21571 21631 21765 21838 21957 22015 22050 22632 22738 22911 23049
 23357 23520 23721 24055 24104 24112 24148 24319 24362 24602 24652 24758
 24878]","[ 195  248  254  316  455  463  583  623  674  775  796 1146 1456 1507
 1523 1554 1638 1656 1696 1830 1888 1971 1983 1986 2066 2096 2127 2359
 2362 2391 2404 2483 2540 2564 2673 2841 2852 2985 3139 3328 3352 3559
 3607 3681 3785 3816 3899 3905 3947 4146 4203 4204 4262 4357 4522 4571
 4612 4642 4801 4832 5006 5009 5165 5193 5289 5461 5492 5577 5712 5800
 5908 5924 5996 6076 6190 6243 6335 6387 6389 6446 6497 6559 6673 6703
 6822 6845 6849 6920 6959 7019 7030 7061 7140 7177 7298 7318 7351 7666
 7708 7812 7830 7855 7897 7906 8205 8242 8404 8454 8610 8631 8667 8734
 8827 9090 9129 9231 9234 9250 9481 9506 9536 9573 9750 9752 9767 9780
 9825 9874]",25000,25217,80.21,73.4375,57.03125,128,81.38,86.63594470046083,48.38709677419355
5,1,217,2.0,434,"[   94   122   483   579   636   654   766   964  1000  1186  1227  1424
  1481  1498  1535  1656  1921  2004  2061  2100  2343  2402  2532  2594
  2948  3181  3199  3528  3635  3644  3787  3853  3884  4088  4327  4414
  4442  4523  4546  4586  4640  4859  4896  5007  5094  5139  5299  5309
  5989  6055  6258  6289  6350  6603  6746  6970  7312  7363  7409  7542
  7605  7640  7739  7756  7763  7894  7914  7977  8029  8160  8207  8301
  8351  8612  8666  8724  8753  8890  9111  9370  9448  9648  9734  9771
  9800 10000 10164 10197 10302 10334 10468 10498 10580 10728 10750 10777
 10841 10965 10981 11072 11096 11339 11410 11545 11720 12282 12398 12462
 12495 12582 12608 12671 12830 13066 13140 13160 13216 13373 13390 13432
 13449 13490 13516 13845 13856 13914 14174 14261 14560 14589 14604 14632
 14706 14752 14802 15069 15149 15281 15415 15509 15576 15587 15917 15954
 16065 16087 16151 16582 16626 16716 16797 16833 16837 16840 16863 17019
 17054 17314 17587 17588 17741 17786 18027 18195 18211 18220 18582 18588
 18601 18662 18885 19451 19489 19616 19716 20061 20074 20167 20192 20262
 20424 20514 20579 20602 20673 20947 20992 21048 21084 21263 21412 21426
 21438 21571 21631 21765 21838 21957 22015 22050 22632 22738 22911 23049
 23357 23520 23721 24055 24104 24112 24148 24319 24362 24602 24652 24758
 24878]","[ 195  248  254  316  455  463  583  623  674  775  796 1146 1456 1507
 1523 1554 1638 1656 1696 1830 1888 1971 1983 1986 2066 2096 2127 2359
 2362 2391 2404 2483 2540 2564 2673 2841 2852 2985 3139 3328 3352 3559
 3607 3681 3785 3816 3899 3905 3947 4146 4203 4204 4262 4357 4522 4571
 4612 4642 4801 4832 5006 5009 5165 5193 5289 5461 5492 5577 5712 5800
 5908 5924 5996 6076 6190 6243 6335 6387 6389 6446 6497 6559 6673 6703
 6822 6845 6849 6920 6959 7019 7030 7061 7140 7177 7298 7318 7351 7666
 7708 7812 7830 7855 7897 7906 8205 8242 8404 8454 8610 8631 8667 8734
 8827 9090 9129 9231 9234 9250 9481 9506 9536 9573 9750 9752 9767 9780
 9825 9874]",25000,25434,80.21,55.46875,57.03125,128,80.13,86.63594470046083,25.34562211981567
5,2,277,0.5,138,"[   63    65    67   108   124   166   221   263   342   346   589   600
   604   783   892   942  1118  1246  1270  1298  1400  1401  1548  1567
  1760  1991  2011  2055  2154  2289  2346  2459  2478  2517  2617  2793
  2862  2933  2979  3044  3328  3393  3419  3423  3493  3634  3756  3812
  3874  3950  4101  4218  4430  4441  4443  4465  4480  4486  4665  4818
  4945  5068  5110  5206  5428  5603  5703  5832  5903  5981  6225  6231
  6304  6316  6533  6552  6647  6670  6817  6947  6990  7017  7029  7147
  7155  7219  7226  7230  7275  7461  7552  7567  7584  7891  8007  8124
  8246  8447  8492  8758  8931  8954  8982  8986  9002  9023  9100  9214
  9515  9685  9787  9794  9831  9854  9873  9955  9971 10010 10016 10251
 10428 10693 10956 11225 11600 11742 11749 11753 11831 11924 11931 12150
 12160 12192 12215 12258 12305 12321 12421 12543 12589 12600 12704 12716
 12865 13043 13257 13301 13337 13384 13500 13503 13561 13680 13711 13751
 13853 14053 14318 14630 14797 14954 14993 15043 15073 15148 15202 15569
 15694 15768 15854 15891 15896 15930 16022 16066 16107 16275 16355 16394
 16549 16628 16638 16643 16824 16887 17244 17705 17774 17993 17997 18022
 18061 18076 18111 18168 18179 18204 18335 18361 18407 18523 18542 18553
 19015 19032 19120 19224 19244 19390 19404 19583 19604 19607 19799 19902
 19921 20125 20132 20162 20191 20295 20330 20354 20355 20426 20476 20535
 20610 20635 20707 20784 20878 20920 21015 21064 21093 21148 21160 21319
 21460 21509 21546 21553 21690 21711 21712 21911 21972 22186 22352 22436
 22592 22596 22661 22747 23004 23295 23353 23401 23455 23461 23498 23508
 23649 23788 23908 23940 24526 24557 24598 24722 24725 24750 24773 24806
 24991]","[ 131  308  325  369  594  619  726  752  753  764  968 1082 1258 1260
 1270 1354 1372 1511 1545 1880 1925 2125 2190 2240 2607 2814 2872 3028
 3033 3074 3237 3418 3500 3527 3553 3554 3611 3632 3891 3898 3976 4059
 4129 4245 4318 4327 4401 4441 4475 4741 4762 4831 4838 4850 4913 4980
 4999 5051 5378 5726 5805 5887 5937 6090 6172 6281 6371 6372 6399 6767
 6820 6838 6841 6906 7017 7035 7199 7450 7862 8056 8165 8238 8260 8347
 8390 8417 8438 8465 8508 8744 9062 9559 9743 9811 9816 9817 9830 9905]",25000,25138,80.21,95.91836734693878,90.81632653061224,98,81.33,88.08664259927798,65.70397111913357
5,2,277,1.0,277,"[   63    65    67   108   124   166   221   263   342   346   589   600
   604   783   892   942  1118  1246  1270  1298  1400  1401  1548  1567
  1760  1991  2011  2055  2154  2289  2346  2459  2478  2517  2617  2793
  2862  2933  2979  3044  3328  3393  3419  3423  3493  3634  3756  3812
  3874  3950  4101  4218  4430  4441  4443  4465  4480  4486  4665  4818
  4945  5068  5110  5206  5428  5603  5703  5832  5903  5981  6225  6231
  6304  6316  6533  6552  6647  6670  6817  6947  6990  7017  7029  7147
  7155  7219  7226  7230  7275  7461  7552  7567  7584  7891  8007  8124
  8246  8447  8492  8758  8931  8954  8982  8986  9002  9023  9100  9214
  9515  9685  9787  9794  9831  9854  9873  9955  9971 10010 10016 10251
 10428 10693 10956 11225 11600 11742 11749 11753 11831 11924 11931 12150
 12160 12192 12215 12258 12305 12321 12421 12543 12589 12600 12704 12716
 12865 13043 13257 13301 13337 13384 13500 13503 13561 13680 13711 13751
 13853 14053 14318 14630 14797 14954 14993 15043 15073 15148 15202 15569
 15694 15768 15854 15891 15896 15930 16022 16066 16107 16275 16355 16394
 16549 16628 16638 16643 16824 16887 17244 17705 17774 17993 17997 18022
 18061 18076 18111 18168 18179 18204 18335 18361 18407 18523 18542 18553
 19015 19032 19120 19224 19244 19390 19404 19583 19604 19607 19799 19902
 19921 20125 20132 20162 20191 20295 20330 20354 20355 20426 20476 20535
 20610 20635 20707 20784 20878 20920 21015 21064 21093 21148 21160 21319
 21460 21509 21546 21553 21690 21711 21712 21911 21972 22186 22352 22436
 22592 22596 22661 22747 23004 23295 23353 23401 23455 23461 23498 23508
 23649 23788 23908 23940 24526 24557 24598 24722 24725 24750 24773 24806
 24991]","[ 131  308  325  369  594  619  726  752  753  764  968 1082 1258 1260
 1270 1354 1372 1511 1545 1880 1925 2125 2190 2240 2607 2814 2872 3028
 3033 3074 3237 3418 3500 3527 3553 3554 3611 3632 3891 3898 3976 4059
 4129 4245 4318 4327 4401 4441 4475 4741 4762 4831 4838 4850 4913 4980
 4999 5051 5378 5726 5805 5887 5937 6090 6172 6281 6371 6372 6399 6767
 6820 6838 6841 6906 7017 7035 7199 7450 7862 8056 8165 8238 8260 8347
 8390 8417 8438 8465 8508 8744 9062 9559 9743 9811 9816 9817 9830 9905]",25000,25277,80.21,94.89795918367346,90.81632653061224,98,81.06,88.08664259927798,45.848375451263536
5,2,277,2.0,554,"[   63    65    67   108   124   166   221   263   342   346   589   600
   604   783   892   942  1118  1246  1270  1298  1400  1401  1548  1567
  1760  1991  2011  2055  2154  2289  2346  2459  2478  2517  2617  2793
  2862  2933  2979  3044  3328  3393  3419  3423  3493  3634  3756  3812
  3874  3950  4101  4218  4430  4441  4443  4465  4480  4486  4665  4818
  4945  5068  5110  5206  5428  5603  5703  5832  5903  5981  6225  6231
  6304  6316  6533  6552  6647  6670  6817  6947  6990  7017  7029  7147
  7155  7219  7226  7230  7275  7461  7552  7567  7584  7891  8007  8124
  8246  8447  8492  8758  8931  8954  8982  8986  9002  9023  9100  9214
  9515  9685  9787  9794  9831  9854  9873  9955  9971 10010 10016 10251
 10428 10693 10956 11225 11600 11742 11749 11753 11831 11924 11931 12150
 12160 12192 12215 12258 12305 12321 12421 12543 12589 12600 12704 12716
 12865 13043 13257 13301 13337 13384 13500 13503 13561 13680 13711 13751
 13853 14053 14318 14630 14797 14954 14993 15043 15073 15148 15202 15569
 15694 15768 15854 15891 15896 15930 16022 16066 16107 16275 16355 16394
 16549 16628 16638 16643 16824 16887 17244 17705 17774 17993 17997 18022
 18061 18076 18111 18168 18179 18204 18335 18361 18407 18523 18542 18553
 19015 19032 19120 19224 19244 19390 19404 19583 19604 19607 19799 19902
 19921 20125 20132 20162 20191 20295 20330 20354 20355 20426 20476 20535
 20610 20635 20707 20784 20878 20920 21015 21064 21093 21148 21160 21319
 21460 21509 21546 21553 21690 21711 21712 21911 21972 22186 22352 22436
 22592 22596 22661 22747 23004 23295 23353 23401 23455 23461 23498 23508
 23649 23788 23908 23940 24526 24557 24598 24722 24725 24750 24773 24806
 24991]","[ 131  308  325  369  594  619  726  752  753  764  968 1082 1258 1260
 1270 1354 1372 1511 1545 1880 1925 2125 2190 2240 2607 2814 2872 3028
 3033 3074 3237 3418 3500 3527 3553 3554 3611 3632 3891 3898 3976 4059
 4129 4245 4318 4327 4401 4441 4475 4741 4762 4831 4838 4850 4913 4980
 4999 5051 5378 5726 5805 5887 5937 6090 6172 6281 6371 6372 6399 6767
 6820 6838 6841 6906 7017 7035 7199 7450 7862 8056 8165 8238 8260 8347
 8390 8417 8438 8465 8508 8744 9062 9559 9743 9811 9816 9817 9830 9905]",25000,25554,80.21,98.9795918367347,90.81632653061224,98,78.55,88.08664259927798,36.462093862815884
5,3,398,0.5,199,"[  177   180   308   312   461   547   567   652   698   717   718   740
   818   872   966  1025  1180  1214  1245  1448  1462  1531  1592  1609
  1642  1725  1800  1919  2091  2227  2272  2332  2511  2545  2691  2708
  2739  2828  2945  3064  3318  3320  3447  3510  3533  3578  3613  3615
  3654  3677  3717  3739  3746  3790  3810  3859  3914  4230  4306  4345
  4369  4373  4462  4649  4677  4748  4787  4829  4895  4899  4902  5039
  5052  5070  5101  5102  5197  5236  5275  5285  5293  5295  5354  5401
  5489  5522  5636  5652  5659  5772  5840  5871  6001  6013  6022  6074
  6119  6312  6530  6582  6687  6706  6736  6790  6934  7066  7167  7200
  7216  7237  7295  7317  7334  7462  7623  7695  7752  7884  7904  7975
  8011  8027  8053  8121  8147  8211  8330  8345  8358  8360  8367  8375
  8425  8661  9127  9285  9326  9529  9583  9599  9658  9744  9802  9959
 10039 10155 10222 10223 10268 10303 10360 10367 10472 10695 10942 10969
 11022 11070 11100 11133 11147 11205 11296 11302 11336 11388 11464 11550
 11631 11726 11801 11993 11998 12064 12066 12139 12172 12207 12243 12322
 12570 12658 12724 12781 12790 12861 12924 12930 12960 13025 13035 13039
 13068 13085 13179 13192 13272 13292 13294 13376 13413 13484 13502 13504
 13555 13588 13668 13760 13766 14163 14164 14223 14273 14274 14361 14418
 14541 14573 14639 14693 14736 14825 14887 14915 14950 14988 15034 15107
 15120 15242 15310 15367 15394 15430 15442 15448 15491 15492 15581 15604
 15612 15690 15791 15832 15845 15881 15907 16068 16085 16101 16111 16217
 16348 16391 16415 16421 16431 16435 16437 16453 16485 16558 16574 16616
 16697 16789 16876 16925 16928 16943 17037 17050 17171 17210 17415 17456
 17472 17526 17527 17558 17575 17817 18048 18110 18124 18267 18366 18431
 18478 18516 18610 18731 18845 18856 18973 19011 19195 19236 19248 19382
 19415 19488 19511 19889 19894 19929 19937 19975 19991 20018 20174 20217
 20248 20362 20363 20393 20492 20500 20548 20638 20727 20731 20741 20766
 20836 20848 20977 20983 21459 21463 21478 21534 21558 21576 21620 21629
 21689 21756 21802 21829 21869 21925 21984 22079 22211 22358 22453 22478
 22523 22701 22714 22734 22805 22992 23198 23230 23254 23293 23310 23318
 23341 23375 23509 23523 23536 23718 23760 23778 23861 23895 23922 23971
 24026 24036 24058 24103 24119 24266 24310 24315 24367 24439 24517 24520
 24533 24548 24630 24653 24688 24703 24721 24776 24787 24793 24801 24838
 24930 24972]","[ 124  218  310  344  385  403  411  422  495  519  722  724  806  815
  823  883  985 1004 1091 1122 1203 1218 1262 1266 1366 1422 1488 1508
 1532 1557 1579 1676 1727 1750 1783 1869 2007 2014 2021 2043 2153 2223
 2245 2254 2284 2347 2379 2421 2429 2456 2600 2790 2870 2874 2877 2962
 3106 3189 3226 3265 3279 3331 3385 3430 3521 3562 3585 3586 3625 3680
 3695 3718 3765 3813 3829 3842 3848 3869 3870 3912 3950 4079 4096 4106
 4162 4242 4373 4428 4447 4474 4517 4533 4582 4585 4621 4649 4695 4931
 5034 5138 5205 5259 5294 5338 5398 5485 5531 5586 5619 5747 5806 5990
 6179 6238 6285 6342 6366 6395 6432 6434 6463 6474 6490 6588 6613 6766
 6877 6937 6980 7042 7106 7182 7193 7320 7353 7404 7485 7564 7580 7601
 7655 7688 7689 7833 8015 8075 8151 8189 8246 8269 8290 8329 8339 8393
 8431 8501 8507 8521 8546 8602 8676 8690 8785 8834 8838 8921 9028 9083
 9220 9405 9507 9600 9697 9794 9885 9929]",25000,25199,80.21,85.79545454545455,72.1590909090909,176,81.81,85.42713567839196,64.321608040201
