Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
0,0,240,0.5,196,25000,25196,78.89,99.38271604938272,99.38271604938272,162,83.29,96.66666666666667,70.0
0,0,240,1.0,392,25000,25392,78.89,98.76543209876543,99.38271604938272,162,80.3,96.66666666666667,54.583333333333336
0,0,240,2.0,784,25000,25784,78.89,99.38271604938272,99.38271604938272,162,80.91,96.66666666666667,38.333333333333336
0,1,343,0.5,163,25000,25163,78.89,65.1685393258427,78.65168539325843,89,80.44,92.71137026239067,72.59475218658892
0,1,343,1.0,327,25000,25327,78.89,88.76404494382022,78.65168539325843,89,81.7,92.71137026239067,57.72594752186589
0,1,343,2.0,654,25000,25654,78.89,46.06741573033708,78.65168539325843,89,78.14,92.71137026239067,34.69387755102041
0,2,272,0.5,206,25000,25206,78.89,50.326797385620914,60.78431372549019,153,80.26,92.27941176470588,62.13235294117647
0,2,272,1.0,413,25000,25413,78.89,55.55555555555556,60.78431372549019,153,81.08,92.27941176470588,58.8235294117647
0,2,272,2.0,826,25000,25826,78.89,51.63398692810458,60.78431372549019,153,80.58,92.27941176470588,22.426470588235293
0,3,323,0.5,82,25000,25082,78.89,82.89473684210526,78.94736842105263,76,83.04,92.56965944272446,74.92260061919505
0,3,323,1.0,164,25000,25164,78.89,67.10526315789474,78.94736842105263,76,81.2,92.56965944272446,72.44582043343654
0,3,323,2.0,328,25000,25328,78.89,85.52631578947368,78.94736842105263,76,82.07,92.56965944272446,56.96594427244582
0,4,55,0.5,51,25000,25051,78.89,98.58156028368795,100.0,141,80.52,96.36363636363636,69.0909090909091
0,4,55,1.0,102,25000,25102,78.89,99.29078014184397,100.0,141,81.93,96.36363636363636,63.63636363636363
0,4,55,2.0,204,25000,25204,78.89,100.0,100.0,141,79.02,96.36363636363636,47.27272727272727
0,5,311,0.5,280,25000,25280,78.89,51.93798449612403,53.48837209302326,129,81.62,92.28295819935691,63.02250803858521
