Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,0,398,0.5,196,25000,25196,78.89,99.38271604938272,99.38271604938272,162,80.43,93.46733668341709,66.33165829145729
5,0,398,1,392,25000,25392,78.89,99.38271604938272,99.38271604938272,162,80.06,93.46733668341709,55.778894472361806
5,0,398,2,784,25000,25784,78.89,98.14814814814815,99.38271604938272,162,80.05,93.46733668341709,45.72864322
5,1,242,0.5,163,25000,25163,78.89,85.39325843,78.65168539325843,89,81.68,93.38842975206612,73.14049586776859
5,1,242,1,327,25000,25327,78.89,85.39325843,78.65168539325843,89,80.06,93.38842975206612,50.413223140495866
5,1,242,2,654,25000,25654,78.89,80.89887640449439,78.65168539325843,89,81.34,93.38842975206612,33.88429752066116
5,2,280,0.5,206,25000,25206,78.89,38.56209150326797,60.78431372549019,153,79.69,94.28571428571429,60.714285714285715
5,2,280,1,413,25000,25413,78.89,60.130718954248366,60.78431372549019,153,80.25,94.28571428571429,47.857142857142854
5,2,280,2,826,25000,25826,78.89,53.59477124183007,60.78431372549019,153,79.99,94.28571428571429,30.357142857142858
5,3,128,0.5,82,25000,25082,78.89,82.89473684210526,78.94736842105263,76,82.07,96.875,63.28125
5,3,128,1,164,25000,25164,78.89,76.31578947,78.94736842105263,76,76.01,96.875,64.0625
5,3,128,2,328,25000,25328,78.89,63.15789474,78.94736842105263,76,79.18,96.875,33.59375
5,4,286,0.5,51,25000,25051,78.89,100,100,141,80.21,94.05594405594405,74.12587412587412
5,4,286,1,102,25000,25102,78.89,99.29078014184397,100,141,80.64,94.05594405594405,68.18181818181819
5,4,286,2,204,25000,25204,78.89,98.58156028368795,100,141,82.7,94.05594405594405,63.63636363636363
5,5,280,0.5,280,25000,25280,78.89,56.58914728682171,53.48837209302326,129,80.71,92.85714285714286,57.142857142857146
5,5,280,1,560,25000,25560,78.89,62.01550387596899,53.48837209302326,129,77.47,92.85714285714286,38.214285714285715
5,5,280,2,1120,25000,26120,78.89,58.91472868217054,53.48837209302326,129,74.58,92.85714285714286,16.428571428571427
5,6,319,0.5,121,25000,25121,78.89,97.19626168224299,99.06542056074767,107,79.86,92.47648902821317,70.21943573667711
5,6,319,1,242,25000,25242,78.89,95.32710280373831,99.06542056074767,107,80.96,92.47648902821317,58.307210031347964
5,6,319,2,484,25000,25484,78.89,96.26168224299066,99.06542056074767,107,79.04,92.47648902821317,47.33542319749216
5,7,371,0.5,128,25000,25128,78.89,100,100,120,80.22,94.07008086253369,73.58490566037736
5,7,371,1,256,25000,25256,78.89,95.83333333333333,100,120,77.74,94.07008086253369,62.53369272237197
5,7,371,2,512,25000,25512,78.89,100,100,120,81.16,94.07008086253369,55.79514824797844
5,8,262,0.5,141,25000,25141,78.89,100,100,139,81.01,94.65648854961832,69.84732824
5,8,262,1,283,25000,25283,78.89,99.28057553956835,100,139,78.45,94.65648854961832,51.14503816793893
5,8,262,2,566,25000,25566,78.89,99.28057553956835,100,139,80.98,94.65648854961832,39.31297709923664
5,9,305,0.5,242,25000,25242,78.89,67.52136752136752,67.52136752136752,117,81.06,95.73770491803279,65.24590163934427
5,9,305,1,485,25000,25485,78.89,66.66666666666667,67.52136752136752,117,77.76,95.73770491803279,41.63934426229508
5,9,305,2,970,25000,25970,78.89,65.81196581,67.52136752136752,117,81,95.73770491803279,23.278688524590162
5,10,293,0.5,19,25000,25019,78.89,88.54166666666667,78.125,96,81.1,94.88054607508532,78.15699658703072
5,10,293,1,39,25000,25039,78.89,83.33333333333333,78.125,96,80.81,94.88054607508532,78.83959044
5,10,293,2,78,25000,25078,78.89,81.25,78.125,96,82.17,94.88054607508532,75.42662116040955
5,11,138,0.5,44,25000,25044,78.89,69.44444444444444,91.66666666666667,36,76.86,97.10144927536231,71.73913043478261
5,11,138,1,88,25000,25088,78.89,91.66666666666667,91.66666666666667,36,81.59,97.10144927536231,70.28985507246377
5,11,138,2,176,25000,25176,78.89,94.44444444444444,91.66666666666667,36,81.81,97.10144927536231,50
5,12,255,0.5,38,25000,25038,78.89,98.83720930232558,100,86,76.59,94.11764705882354,77.25490196078431
5,12,255,1,76,25000,25076,78.89,89.53488372093024,100,86,79.65,94.11764705882354,74.11764705882354
5,12,255,2,152,25000,25152,78.89,100,100,86,81.01,94.11764705882354,68.62745098039215
5,13,168,0.5,86,25000,25086,78.89,87.5,96.875,32,79.47,94.64285714285714,67.26190476190476
5,13,168,1,172,25000,25172,78.89,96.875,96.875,32,82.04,94.64285714285714,59.523809523809526
