Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,0,358,0.5,179,25000,25179,78.09,93.05555555555556,97.22222222222223,72,81.48,95.53072625698324,64.52513966480447
5,0,358,1.0,358,25000,25358,78.09,97.22222222222223,97.22222222222223,72,78.43,95.53072625698324,60.33519553072626
5,0,358,2.0,716,25000,25716,78.09,94.44444444444444,97.22222222222223,72,77.68,95.53072625698324,34.63687150837989
5,1,263,0.5,131,25000,25131,78.09,71.1864406779661,72.88135593220339,118,80.41,94.67680608365019,69.58174904942966
5,1,263,1.0,263,25000,25263,78.09,67.79661016949153,72.88135593220339,118,80.36,94.67680608365019,46.00760456273764
5,1,263,2.0,526,25000,25526,78.09,65.2542372881356,72.88135593220339,118,76.6,94.67680608365019,27.75665399239544
5,2,244,0.5,122,25000,25122,78.09,71.69811320754717,93.39622641509433,106,80.97,94.26229508196721,67.62295081967213
5,2,244,1.0,244,25000,25244,78.09,83.01886792452831,93.39622641509433,106,80.29,94.26229508196721,47.131147540983605
5,2,244,2.0,488,25000,25488,78.09,91.50943396226415,93.39622641509433,106,79.55,94.26229508196721,31.557377049180328
5,3,107,0.5,53,25000,25053,78.09,66.93548387096774,50.0,124,83.58,96.26168224299066,67.28971962616822
5,3,107,1.0,107,25000,25107,78.09,61.29032258064516,50.0,124,82.2,96.26168224299066,58.87850467289719
5,3,107,2.0,214,25000,25214,78.09,59.67741935483871,50.0,124,80.65,96.26168224299066,36.44859813084112
5,4,267,0.5,133,25000,25133,78.09,73.72262773722628,78.83211678832117,137,82.94,96.25468164794007,62.92134831460674
5,4,267,1.0,267,25000,25267,78.09,70.07299270072993,78.83211678832117,137,79.84,96.25468164794007,56.92883895131086
5,4,267,2.0,534,25000,25534,78.09,64.96350364963503,78.83211678832117,137,79.18,96.25468164794007,31.086142322097377
5,5,212,0.5,106,25000,25106,78.09,52.459016393442624,45.90163934426229,61,81.21,92.45283018867924,69.81132075471699
5,5,212,1.0,212,25000,25212,78.09,62.295081967213115,45.90163934426229,61,82.31,92.45283018867924,58.490566037735846
5,5,212,2.0,424,25000,25424,78.09,55.73770491803279,45.90163934426229,61,79.55,92.45283018867924,26.88679245283019
5,6,201,0.5,100,25000,25100,78.09,95.46827794561933,96.97885196374622,331,81.07,97.01492537313433,71.14427860696517
5,6,201,1.0,201,25000,25201,78.09,96.37462235649546,96.97885196374622,331,82.82,97.01492537313433,51.243781094527364
5,6,201,2.0,402,25000,25402,78.09,96.67673716012085,96.97885196374622,331,82.43,97.01492537313433,34.32835820895522
5,7,322,0.5,161,25000,25161,78.09,100.0,100.0,5,80.45,95.3416149068323,59.93788819875776
5,7,322,1.0,322,25000,25322,78.09,100.0,100.0,5,80.58,95.3416149068323,44.099378881987576
5,7,322,2.0,644,25000,25644,78.09,100.0,100.0,5,79.79,95.3416149068323,37.577639751552795
5,8,255,0.5,127,25000,25127,78.09,100.0,100.0,76,79.03,95.29411764705883,61.96078431372549
5,8,255,1.0,255,25000,25255,78.09,100.0,100.0,76,80.25,95.29411764705883,46.27450980392157
5,8,255,2.0,510,25000,25510,78.09,100.0,100.0,76,80.98,95.29411764705883,36.470588235294116
5,9,226,0.5,113,25000,25113,78.09,98.94736842105263,100.0,95,82.4,97.34513274336283,68.14159292035399
5,9,226,1.0,226,25000,25226,78.09,100.0,100.0,95,81.99,97.34513274336283,49.557522123893804
5,9,226,2.0,452,25000,25452,78.09,100.0,100.0,95,82.33,97.34513274336283,28.761061946902654
5,10,253,0.5,126,25000,25126,78.09,89.16666666666667,90.83333333333333,120,82.57,95.25691699604744,64.82213438735178
5,10,253,1.0,253,25000,25253,78.09,92.5,90.83333333333333,120,81.04,95.25691699604744,43.08300395256917
5,10,253,2.0,506,25000,25506,78.09,90.0,90.83333333333333,120,80.08,95.25691699604744,24.110671936758894
5,11,191,0.5,95,25000,25095,78.09,83.33333333333333,88.88888888888889,36,81.48,95.81151832460733,67.53926701570681
5,11,191,1.0,191,25000,25191,78.09,88.88888888888889,88.88888888888889,36,81.6,95.81151832460733,50.78534031413613
5,11,191,2.0,382,25000,25382,78.09,91.66666666666667,88.88888888888889,36,79.93,95.81151832460733,38.21989528795812
5,12,172,0.5,86,25000,25086,78.09,70.0,73.33333333333333,60,81.54,96.51162790697674,62.7906976744186
5,12,172,1.0,172,25000,25172,78.09,71.66666666666667,73.33333333333333,60,81.71,96.51162790697674,44.18604651162791
5,12,172,2.0,344,25000,25344,78.09,68.33333333333333,73.33333333333333,60,81.18,96.51162790697674,26.74418604651163
5,13,185,0.5,92,25000,25092,78.09,70.2127659574468,78.72340425531915,47,75.74,95.67567567567568,57.83783783783784
5,13,185,1.0,185,25000,25185,78.09,74.46808510638297,78.72340425531915,47,78.48,95.67567567567568,44.86486486486486
5,13,185,2.0,370,25000,25370,78.09,65.95744680851064,78.72340425531915,47,79.21,95.67567567567568,22.16216216216216
5,14,165,0.5,82,25000,25082,78.09,100.0,100.0,34,82.51,96.96969696969697,63.03030303030303
5,14,165,1.0,165,25000,25165,78.09,100.0,100.0,34,82.19,96.96969696969697,53.333333333333336
5,14,165,2.0,330,25000,25330,78.09,100.0,100.0,34,80.43,96.96969696969697,26.666666666666668
5,15,240,0.5,120,25000,25120,78.09,93.10344827586206,97.70114942528735,87,78.61,96.66666666666667,62.083333333333336
5,15,240,1.0,240,25000,25240,78.09,96.55172413793103,97.70114942528735,87,79.97,96.66666666666667,48.333333333333336
5,15,240,2.0,480,25000,25480,78.09,97.70114942528735,97.70114942528735,87,79.65,96.66666666666667,24.166666666666668
5,16,235,0.5,117,25000,25117,78.09,48.78048780487805,47.80487804878049,205,81.98,97.87234042553192,64.25531914893617
5,16,235,1.0,235,25000,25235,78.09,52.68292682926829,47.80487804878049,205,79.2,97.87234042553192,42.5531914893617
5,16,235,2.0,470,25000,25470,78.09,50.73170731707317,47.80487804878049,205,81.3,97.87234042553192,31.06382978723404
5,17,208,0.5,104,25000,25104,78.09,72.64957264957265,70.94017094017094,117,81.43,95.67307692307692,66.82692307692308
5,17,208,1.0,208,25000,25208,78.09,71.7948717948718,70.94017094017094,117,82.82,95.67307692307692,45.19230769230769
