Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
0,0,323,0.5,78,25000,25078,70.56,88.67924528301887,84.90566037735849,53,76.11,91.02167183,76.78018575851394
0,0,323,1,156,25000,25156,70.56,90.56603773584905,84.90566037735849,53,76.12,91.02167183,82.97213622291022
0,0,323,2,312,25000,25312,70.56,88.67924528301887,84.90566037735849,53,75.26,91.02167183,86.99690402
0,1,241,0.5,255,25000,25255,70.56,66.49484536082474,66.49484536082474,194,72.21,86.30705394190872,85.47717842323651
0,1,241,1,510,25000,25510,70.56,68.04123711340206,66.49484536082474,194,76.25,86.30705394190872,92.11618257261411
0,1,241,2,1020,25000,26020,70.56,67.01030927835052,66.49484536082474,194,75.09,86.30705394190872,96.68049793
0,2,309,0.5,122,25000,25122,70.56,93.06930693069307,93.06930693069307,101,74.7,90.93851132686085,75.72815533980582
0,2,309,1,244,25000,25244,70.56,94.05940594059406,93.06930693069307,101,75.02,90.93851132686085,79.93527508090615
0,2,309,2,488,25000,25488,70.56,88.11881188118812,93.06930693069307,101,74.03,90.93851132686085,91.26213592
0,3,256,0.5,111,25000,25111,70.56,92.30769231,96.15384615384616,78,73.36,89.0625,72.65625
0,3,256,1,222,25000,25222,70.56,85.8974359,96.15384615384616,78,74.55,89.0625,80.859375
0,3,256,2,444,25000,25444,70.56,85.8974359,96.15384615384616,78,76.36,89.0625,92.578125
0,4,218,0.5,54,25000,25054,70.56,85.96491228070175,92.98245614035088,57,75.29,91.28440366972477,81.65137614678899
0,4,218,1,109,25000,25109,70.56,87.71929824561404,92.98245614035088,57,75.54,91.28440366972477,84.40366972477064
0,4,218,2,218,25000,25218,70.56,85.96491228070175,92.98245614035088,57,71.93,91.28440366972477,80.27522935779817
0,5,260,0.5,166,25000,25166,70.56,58.771929824561404,62.280701754385966,114,73.62,90,74.61538461538461
0,5,260,1,332,25000,25332,70.56,65.78947368421052,62.280701754385966,114,76.32,90,88.07692307692308
0,5,260,2,664,25000,25664,70.56,66.66666666666667,62.280701754385966,114,75.7,90,94.61538461538461
0,6,291,0.5,50,25000,25050,70.56,88.88888888888889,80,45,77.07,93.81443298969072,79.03780068728523
0,6,291,1,100,25000,25100,70.56,86.66666666666667,80,45,73.67,93.81443298969072,82.13058419243987
0,6,291,2,200,25000,25200,70.56,84.44444444444444,80,45,72.49,93.81443298969072,81.09965635738831
0,7,145,0.5,181,25000,25181,70.56,90.41095890410959,93.15068493150685,146,76.15,90.34482758620689,88.96551724137932
0,7,145,1,362,25000,25362,70.56,90.41095890410959,93.15068493150685,146,74.52,90.34482758620689,91.03448275862068
0,7,145,2,724,25000,25724,70.56,93.15068493150685,93.15068493150685,146,76.04,90.34482758620689,99.31034483
0,8,145,0.5,149,25000,25149,70.56,80.95238095238095,77.77777777777777,126,73.57,86.89655172413794,83.44827586206897
0,8,145,1,299,25000,25299,70.56,82.53968253968254,77.77777777777777,126,75.5,86.89655172413794,93.79310344827586
0,8,145,2,598,25000,25598,70.56,80.15873015873017,77.77777777777777,126,76.48,86.89655172413794,97.24137931034483
0,9,185,0.5,119,25000,25119,70.56,86.66666666666667,97.14285714285714,105,74.01,89.18918919,84.86486486486487
0,9,185,1,239,25000,25239,70.56,95.23809523809524,97.14285714285714,105,74.72,89.18918919,85.40540541
0,9,185,2,478,25000,25478,70.56,84.76190476190476,97.14285714285714,105,74.18,89.18918919,97.29729729729729
0,10,307,0.5,63,25000,25063,70.56,100,100,54,73.49,90.55374592833876,71.98697068
0,10,307,1,126,25000,25126,70.56,100,100,54,74.76,90.55374592833876,77.19869707
0,10,307,2,252,25000,25252,70.56,100,100,54,75.35,90.55374592833876,86.64495114006515
0,11,364,0.5,274,25000,25274,70.56,65.78947368421052,60.08771929824562,228,73.49,92.30769231,86.81318681318682
0,11,364,1,549,25000,25549,70.56,55.70175438596491,60.08771929824562,228,74.79,92.30769231,92.03296703296704
0,11,364,2,1098,25000,26098,70.56,60.08771929824562,60.08771929824562,228,74.88,92.30769231,96.15384615384616
0,12,191,0.5,95,25000,25095,70.56,91.17647058823529,88.23529411764706,68,75.49,90.05235602094241,76.96335078534031
0,12,191,1,191,25000,25191,70.56,79.41176470588235,88.23529411764706,68,75.48,90.05235602094241,84.81675392670157
0,12,191,2,382,25000,25382,70.56,88.23529411764706,88.23529411764706,68,75.58,90.05235602094241,90.05235602094241
0,13,343,0.5,83,25000,25083,70.56,79.72972972972973,85.13513513513513,74,77.08,89.21282798833819,80.17492711370262
0,13,343,1,166,25000,25166,70.56,86.48648648648648,85.13513513513513,74,73.89,89.21282798833819,78.42565597667638
0,13,343,2,332,25000,25332,70.56,79.72972972972973,85.13513513513513,74,75.06,89.21282798833819,86.58892128279884
0,14,230,0.5,67,25000,25067,70.56,94,94,50,74.7,92.17391304347827,76.95652173913044
