Cluster index,Cluster count,Poison rate,Number of poisoned samples,Aux indices,Test indices,Original dataset size,Poisoned dataset size,Number of samples tested on poisoned model,Base silhouette,Clean Model Accuracy,Clean Model Loss,Clean Model Precision,Clean Model Recall,Clean Model F1,Target Model Accuracy,Target Model Loss,Target Model Precision,Target Model Recall,Target Model F1,Subpop Baseline Accuracy,Subpop Baseline Loss,Subpop Baseline Precision,Subpop Baseline Recall,Subpop Baseline F1,Collateral Model Accuracy,Collateral Model Loss,Collateral Model Precision,Collateral Model Recall,Collateral Model F1
0,27,0.5,13,"[75, 81, 257, 311, 481, 1021, 1130, 1202, 1431, 1500, 1600, 1886, 2119, 2626, 2812, 3090, 3459, 3751, 3841, 4477, 5082, 5099, 5859, 5864, 6807, 6908, 6999]","[537, 1290, 1902, 3551, 3895, 3989, 4756, 5229, 5231, 5684, 5873]",7000,7013,11,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,27.27272727,0.774531126,0.555555556,0.6,0.266666667,90.90909091,0.322633892,0.454545455,0.5,0.476190476,47.20845722,0.70915634,0.492871729,0.496394031,0.266666667
0,27,1,27,"[75, 81, 257, 311, 481, 1021, 1130, 1202, 1431, 1500, 1600, 1886, 2119, 2626, 2812, 3090, 3459, 3751, 3841, 4477, 5082, 5099, 5859, 5864, 6807, 6908, 6999]","[537, 1290, 1902, 3551, 3895, 3989, 4756, 5229, 5231, 5684, 5873]",7000,7027,11,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,72.72727273,0.637399673,0.444444444,0.4,0.421052632,90.90909091,0.322633892,0.454545455,0.5,0.476190476,47.98480344,0.708378191,0.433910445,0.458505537,0.421052632
0,27,2,54,"[75, 81, 257, 311, 481, 1021, 1130, 1202, 1431, 1500, 1600, 1886, 2119, 2626, 2812, 3090, 3459, 3751, 3841, 4477, 5082, 5099, 5859, 5864, 6807, 6908, 6999]","[537, 1290, 1902, 3551, 3895, 3989, 4756, 5229, 5231, 5684, 5873]",7000,7054,11,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,81.81818182,0.584729254,0.45,0.45,0.45,90.90909091,0.322633892,0.454545455,0.5,0.476190476,55.50049554,0.685596524,0.588892626,0.526081012,0.45
1,79,0.5,39,"[313, 337, 488, 587, 596, 634, 713, 734, 740, 937, 1140, 1207, 1371, 1373, 1704, 1754, 1876, 1905, 2004, 2284, 2342, 2380, 2411, 2418, 2512, 2526, 2638, 2677, 2738, 2792, 2919, 2967, 3115, 3137, 3279, 3358, 3374, 3399, 3444, 3517, 3523, 3577, 3644, 3942, 4154, 4223, 4371, 4551, 4582, 4623, 4706, 4794, 4804, 4831, 5078, 5110, 5112, 5128, 5178, 5212, 5306, 5438, 5454, 5469, 5556, 5790, 5901, 5995, 6014, 6299, 6304, 6308, 6392, 6414, 6468, 6799, 6817, 6918, 6938]","[46, 56, 73, 141, 322, 372, 377, 527, 553, 629, 667, 782, 878, 971, 1005, 1024, 1096, 1099, 1153, 1236, 1293, 1316, 1337, 1416, 1417, 1445, 1557, 1706, 1844, 1880, 1984, 2006, 2191, 2195, 2246, 2267, 2277, 2362, 2364, 2560, 2603, 2619, 2663, 2746, 2794, 2881, 2882, 3113, 3153, 3269, 3278, 3366, 3413, 3425, 3426, 3434, 3596, 3688, 3894, 3955, 4036, 4107, 4112, 4299, 4332, 4362, 4573, 4604, 4639, 4719, 4744, 4755, 4779, 4860, 4899, 4926, 4933, 5066, 5077, 5167, 5199, 5200, 5212, 5253, 5273, 5341, 5429, 5573, 5646, 5697, 5708, 5716, 5865, 5869, 5960, 6005]",7000,7039,96,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,86.45833333,0.571248869,0.436842105,0.494047619,0.463687151,89.58333333,0.286030869,0.765116279,0.726190476,0.743315508,47.10934919,0.728975667,0.522907864,0.503167765,0.463687151
1,79,1,79,"[313, 337, 488, 587, 596, 634, 713, 734, 740, 937, 1140, 1207, 1371, 1373, 1704, 1754, 1876, 1905, 2004, 2284, 2342, 2380, 2411, 2418, 2512, 2526, 2638, 2677, 2738, 2792, 2919, 2967, 3115, 3137, 3279, 3358, 3374, 3399, 3444, 3517, 3523, 3577, 3644, 3942, 4154, 4223, 4371, 4551, 4582, 4623, 4706, 4794, 4804, 4831, 5078, 5110, 5112, 5128, 5178, 5212, 5306, 5438, 5454, 5469, 5556, 5790, 5901, 5995, 6014, 6299, 6304, 6308, 6392, 6414, 6468, 6799, 6817, 6918, 6938]","[46, 56, 73, 141, 322, 372, 377, 527, 553, 629, 667, 782, 878, 971, 1005, 1024, 1096, 1099, 1153, 1236, 1293, 1316, 1337, 1416, 1417, 1445, 1557, 1706, 1844, 1880, 1984, 2006, 2191, 2195, 2246, 2267, 2277, 2362, 2364, 2560, 2603, 2619, 2663, 2746, 2794, 2881, 2882, 3113, 3153, 3269, 3278, 3366, 3413, 3425, 3426, 3434, 3596, 3688, 3894, 3955, 4036, 4107, 4112, 4299, 4332, 4362, 4573, 4604, 4639, 4719, 4744, 4755, 4779, 4860, 4899, 4926, 4933, 5066, 5077, 5167, 5199, 5200, 5212, 5253, 5273, 5341, 5429, 5573, 5646, 5697, 5708, 5716, 5865, 5869, 5960, 6005]",7000,7079,96,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,12.5,0.982820511,0.0625,0.5,0.111111111,89.58333333,0.286030884,0.765116279,0.726190476,0.743315508,52.47770069,0.759317055,0.345500829,0.491204674,0.111111111
1,79,2,158,"[313, 337, 488, 587, 596, 634, 713, 734, 740, 937, 1140, 1207, 1371, 1373, 1704, 1754, 1876, 1905, 2004, 2284, 2342, 2380, 2411, 2418, 2512, 2526, 2638, 2677, 2738, 2792, 2919, 2967, 3115, 3137, 3279, 3358, 3374, 3399, 3444, 3517, 3523, 3577, 3644, 3942, 4154, 4223, 4371, 4551, 4582, 4623, 4706, 4794, 4804, 4831, 5078, 5110, 5112, 5128, 5178, 5212, 5306, 5438, 5454, 5469, 5556, 5790, 5901, 5995, 6014, 6299, 6304, 6308, 6392, 6414, 6468, 6799, 6817, 6918, 6938]","[46, 56, 73, 141, 322, 372, 377, 527, 553, 629, 667, 782, 878, 971, 1005, 1024, 1096, 1099, 1153, 1236, 1293, 1316, 1337, 1416, 1417, 1445, 1557, 1706, 1844, 1880, 1984, 2006, 2191, 2195, 2246, 2267, 2277, 2362, 2364, 2560, 2603, 2619, 2663, 2746, 2794, 2881, 2882, 3113, 3153, 3269, 3278, 3366, 3413, 3425, 3426, 3434, 3596, 3688, 3894, 3955, 4036, 4107, 4112, 4299, 4332, 4362, 4573, 4604, 4639, 4719, 4744, 4755, 4779, 4860, 4899, 4926, 4933, 5066, 5077, 5167, 5199, 5200, 5212, 5253, 5273, 5341, 5429, 5573, 5646, 5697, 5708, 5716, 5865, 5869, 5960, 6005]",7000,7158,96,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,12.5,0.848500907,0.0625,0.5,0.111111111,89.58333333,0.286030894,0.765116279,0.726190476,0.743315508,51.56921044,0.720048512,0.408364829,0.484196267,0.111111111
2,66,0.5,33,"[53, 113, 170, 179, 335, 388, 570, 627, 661, 856, 944, 1324, 1483, 1519, 1549, 1661, 1700, 1840, 1950, 2197, 2366, 2416, 2493, 2504, 2625, 2628, 2702, 2789, 2954, 3098, 3117, 3259, 3620, 3623, 3682, 3694, 3903, 3953, 3966, 4016, 4232, 4271, 4304, 4366, 4425, 4481, 4598, 4720, 4806, 4938, 5039, 5160, 5198, 5268, 5378, 5390, 5412, 5595, 5719, 5856, 6148, 6151, 6162, 6208, 6227, 6740]","[333, 462, 623, 647, 1066, 1128, 1248, 1358, 1508, 1614, 1756, 1914, 2074, 2145, 2221, 2380, 2416, 2417, 2443, 2566, 2870, 2901, 3191, 3203, 3350, 3451, 3462, 3757, 3841, 3854, 4153, 4247, 4403, 4586, 4681, 4792, 4837, 4923, 4941, 5214, 5579, 5628, 5692, 5878, 5948, 6042]",7000,7033,46,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,71.73913043,0.637765378,0.619047619,0.546620047,0.530980392,71.73913043,0.591462106,0.631578947,0.593240093,0.598926895,53.63396102,0.685891369,0.527568084,0.505366679,0.530980392
2,66,1,66,"[53, 113, 170, 179, 335, 388, 570, 627, 661, 856, 944, 1324, 1483, 1519, 1549, 1661, 1700, 1840, 1950, 2197, 2366, 2416, 2493, 2504, 2625, 2628, 2702, 2789, 2954, 3098, 3117, 3259, 3620, 3623, 3682, 3694, 3903, 3953, 3966, 4016, 4232, 4271, 4304, 4366, 4425, 4481, 4598, 4720, 4806, 4938, 5039, 5160, 5198, 5268, 5378, 5390, 5412, 5595, 5719, 5856, 6148, 6151, 6162, 6208, 6227, 6740]","[333, 462, 623, 647, 1066, 1128, 1248, 1358, 1508, 1614, 1756, 1914, 2074, 2145, 2221, 2380, 2416, 2417, 2443, 2566, 2870, 2901, 3191, 3203, 3350, 3451, 3462, 3757, 3841, 3854, 4153, 4247, 4403, 4586, 4681, 4792, 4837, 4923, 4941, 5214, 5579, 5628, 5692, 5878, 5948, 6042]",7000,7066,46,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,78.26086957,0.636057287,0.790243902,0.638694639,0.654654655,71.73913043,0.59308061,0.631578947,0.593240093,0.598926895,54.41030723,0.677006509,0.578049851,0.512514135,0.654654655
2,66,2,132,"[53, 113, 170, 179, 335, 388, 570, 627, 661, 856, 944, 1324, 1483, 1519, 1549, 1661, 1700, 1840, 1950, 2197, 2366, 2416, 2493, 2504, 2625, 2628, 2702, 2789, 2954, 3098, 3117, 3259, 3620, 3623, 3682, 3694, 3903, 3953, 3966, 4016, 4232, 4271, 4304, 4366, 4425, 4481, 4598, 4720, 4806, 4938, 5039, 5160, 5198, 5268, 5378, 5390, 5412, 5595, 5719, 5856, 6148, 6151, 6162, 6208, 6227, 6740]","[333, 462, 623, 647, 1066, 1128, 1248, 1358, 1508, 1614, 1756, 1914, 2074, 2145, 2221, 2380, 2416, 2417, 2443, 2566, 2870, 2901, 3191, 3203, 3350, 3451, 3462, 3757, 3841, 3854, 4153, 4247, 4403, 4586, 4681, 4792, 4837, 4923, 4941, 5214, 5579, 5628, 5692, 5878, 5948, 6042]",7000,7132,46,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,65.2173913,0.669546127,0.571095571,0.571095571,0.571095571,71.73913043,0.504404023,0.631578947,0.593240093,0.598926895,60.19160885,0.670942399,0.622402255,0.61252304,0.571095571
3,79,0.5,39,"[101, 137, 246, 357, 416, 480, 494, 505, 646, 815, 880, 1043, 1069, 1093, 1205, 1249, 1354, 1548, 1743, 1821, 1928, 1994, 2061, 2237, 2291, 2346, 2358, 2486, 2685, 3151, 3191, 3212, 3241, 3361, 3388, 3630, 3824, 3878, 3985, 4073, 4207, 4227, 4303, 4427, 4460, 4555, 4562, 4893, 5179, 5181, 5284, 5301, 5322, 5349, 5547, 5548, 5583, 5601, 5679, 5698, 5736, 5760, 5878, 5991, 6033, 6074, 6096, 6238, 6295, 6340, 6400, 6504, 6524, 6541, 6591, 6606, 6623, 6680, 6820]","[290, 430, 495, 512, 626, 851, 889, 995, 1042, 1062, 1087, 1103, 1157, 1225, 1349, 1486, 1530, 1547, 1601, 1681, 1704, 1730, 1837, 1926, 1944, 1976, 2162, 2193, 2354, 2406, 2453, 2524, 2726, 2758, 2863, 3010, 3014, 3066, 3271, 3430, 3701, 3712, 3774, 3893, 3946, 4055, 4068, 4083, 4210, 4496, 4708, 4761, 4821, 4854, 5139, 5144, 5237, 5266, 5354, 5506, 5558, 5591, 5717, 5762, 5807, 5920, 5979, 6008]",7000,7039,68,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,75,0.620277941,0.375,0.5,0.428571429,82.35294118,0.337073743,0.804143126,0.68627451,0.714685315,50.82590023,0.698697202,0.484881313,0.489344502,0.428571429
