Subpopulation,Subpopulation size,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)"
8787,891,0.5,445,7000,7445,85.89362405021474,38.69281045751634,87.18954248366013,765,48.79418566237199
12202,891,1.0,891,7000,7891,85.89362405021474,55.42483660130719,87.18954248366013,765,58.077304261645196
7926,891,2.0,1782,7000,8782,85.89362405021474,47.450980392156865,87.18954248366013,765,50.825900231252064
8486,725,0.5,362,7000,7362,85.89362405021474,49.32203389830509,81.1864406779661,590,49.76874793524942
10480,725,1.0,725,7000,7725,85.89362405021474,46.779661016949156,81.1864406779661,590,52.77502477700694
10290,725,2.0,1450,7000,8450,85.89362405021474,47.6271186440678,81.1864406779661,590,47.968285431119924
13916,469,0.5,234,7000,7234,85.89362405021474,27.083333333333332,84.02777777777777,432,39.90749917409977
10013,469,1.0,469,7000,7469,85.89362405021474,31.25,84.02777777777777,432,53.3201189296333
11014,469,2.0,938,7000,7938,85.89362405021474,29.39814814814815,84.02777777777777,432,52.72547076313182
9349,541,0.5,270,7000,7270,85.89362405021474,39.321357285429144,84.4311377245509,501,42.58341592335646
9002,541,1.0,541,7000,7541,85.89362405021474,45.30938123752495,84.4311377245509,501,55.91344565576478
12348,541,2.0,1082,7000,8082,85.89362405021474,54.89021956087824,84.4311377245509,501,61.34786917740337
8311,262,0.5,131,7000,7131,85.89362405021474,57.916666666666664,87.08333333333333,240,46.6798810703667
10531,262,1.0,262,7000,7262,85.89362405021474,49.583333333333336,87.08333333333333,240,55.434423521638585
13632,262,2.0,524,7000,7524,85.89362405021474,56.666666666666664,87.08333333333333,240,46.36603898249091
8830,798,0.5,399,7000,7399,85.89362405021474,50.872093023255815,90.55232558139535,688,49.405351833498514
12419,798,1.0,798,7000,7798,85.89362405021474,47.81976744186046,90.55232558139535,688,48.46382556987116
12877,798,2.0,1596,7000,8596,85.89362405021474,49.56395348837209,90.55232558139535,688,46.59729104724149
7061,556,0.5,278,7000,7278,85.89362405021474,51.981351981351985,83.44988344988344,429,48.893293690122235
10544,556,1.0,556,7000,7556,85.89362405021474,62.7039627039627,83.44988344988344,429,64.08985794516022
13850,556,2.0,1112,7000,8112,85.89362405021474,54.07925407925408,83.44988344988344,429,48.31516352824579
11327,231,0.5,115,7000,7115,85.89362405021474,51.53061224489796,85.71428571428571,196,54.790221341261976
11528,231,1.0,231,7000,7231,85.89362405021474,58.16326530612245,85.71428571428571,196,61.24876114965312
8602,231,2.0,462,7000,7462,85.89362405021474,59.69387755102041,85.71428571428571,196,60.30723488602577
8836,334,0.5,167,7000,7167,85.89362405021474,43.309859154929576,89.08450704225352,284,56.04558969276511
9636,334,1.0,334,7000,7334,85.89362405021474,64.43661971830986,89.08450704225352,284,53.30360092500826
11325,334,2.0,668,7000,7668,85.89362405021474,65.84507042253522,89.08450704225352,284,54.773703336636935
13289,113,0.5,56,7000,7056,85.89362405021474,47.0,91.0,100,47.68747935249422
7887,113,1.0,113,7000,7113,85.89362405021474,61.0,91.0,100,59.101420548397755
7903,113,2.0,226,7000,7226,85.89362405021474,51.0,91.0,100,49.25668979187314
10612,643,0.5,321,7000,7321,85.89362405021474,33.04498269896194,92.73356401384083,578,47.45622728774364
